Population,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Egypt,,,,,,,,,,,,,,470,5000,,,,4800,5000,5020,7370,2600,4000,4000,4000,4560,5000,4850,1440,1580,5500,35000,5500,1090,1080,1150,1620,1740,2041,2245,5779,6712,7264,5412,6486,6498,6302,6559,18038,22900,92778,94230,99250,100154,105407,114137,114782,110395,109929,116004,128672,254142,261888,250780,263434,289199
El Salvador,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,250,450,,,,,210,310,300,20600,20730,20450,20299,20023,174,164,178,151,109,33,24,71,74,82,249,236,94,39,44,32,88,56,43,45,49,36,10149,9846,75738
Equatorial Guinea,,,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,709,1083,2107,2606,2501,2972,1101999,3749,3724,4089,4707,6040,6680,7067,4993,4885,4959,4726,3679,3248,2932,2589,2366,2879
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,31,17,15,150556,136015,119217,116272,110344,104856,101032,97808,94305,91376,88261,85555,82950,80745
Ethiopia,,,,,,,,,,,,,,,,,,20000,20300,21000,22730,31860,19270,6290,11150,10690,10940,10930,10930,10930,5450,5550,31370,180480,180400,132400,310550,680852,710166,812394,899620,431824,272631,348074,393482,390528,373097,310042,280679,246329,203234,162819,139529,125579,105136,103251,108365,95619,125367,155370,290460,378732,440357,664774,739151,794132,1970960
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,2,1,6,6,7,8,13,14,24,20,14,17
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,800,1065,2000,2348,4561,5950,8511,9511,10191,11434,12032,12303,13285,14853,12762,12663,11002,11401,12658,13084,7003,10766,13651,13954,15209,13903,14906,15882,39516,26672,26641
France,290000,280000,270000,263000,345415,363290,389480,381152,387201,245935,253375,259740,174057,175861,177665,179468,177200,176736,175242,158543,141844,98900,101830,105538,109882,114634,119413,126229,119489,121958,125597,152223,164113,169863,174213,180258,179306,183946,180263,193001,174770,156614,166368,195511,155261,151685,146565,140228,132293,133039,166161,166976,153852,199981,179541,184124,185124,203830,238084,250434,260641,268966,285468,309519,337616,368687,401698
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6601,6601,6532,6247,11,11,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,4500,,,,,,60000,60000,90000,60200,60200,30000,400,640,,,,100,,,,417,220,272,82,604,792,803,2862,1131,15070,21024,19504,19443,20182,19375,13679,12640,13217,13317,13188,13231,13501,4421,4036,2907,2915,2840,829
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,1240,,,,,,,,,,,,,,,78,241,3682,2190,2206,6599,7232,7279,10970,17546,12240,10357,12120,7610,8302,7974,14409,14963,15096,12523,8483,9558,10185,9807,11609,7854,7948,8077
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000,280311,272500,272454,273548,277026,284411,280105,272154,265809,264488,240077,238602,309789,275618,435264,360501,362230,276088,281870,259574,265588,271755,276782,281295
Germany,265000,240000,228000,225000,219000,221000,217000,212000,205000,197000,190000,185000,182000,180000,180000,140000,112000,110000,113000,115000,125000,125000,125000,123000,122000,122000,120000,83500,87000,94000,100000,100000,115000,126600,475000,547900,596200,610200,628500,816000,821500,1236000,1418000,1354600,1267973,1296000,1144930,1047251,1017283,1045611,999241,1151473,1093944,976665,783980,671372,622261,648079,659659,670638,659820,682000,335562,455440,749487,1268845,1413089
Ghana,,,,,,,,,,,,,,,,,,,20000,,70,,,,130,180,170,70,300,,,100,90,90,120,160,150,140,130,8123,10158,12114,150100,322769,115399,86610,32578,17590,13612,13164,14189,42318,48112,50019,60245,60889,51375,31802,15108,14761,26699,23488,20611,21126,19307,13297,13459
Greece,18000,19000,18500,19000,17400,16000,16000,15700,15500,15500,15200,15700,15400,16000,15560,15300,12270,8260,6330,5710,5780,3350,2940,2710,2600,2560,2610,2520,3770,3750,3990,4180,4090,4320,4890,3280,4630,8262,7560,8788,9169,8456,7873,7793,4438,5823,5520,6145,6286,9032,13197,4593,10027,12864,14257,18970,30838,40539,50156,57428,45810,38527,73027,42879,51625,86611,83368
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,1,1,0
Guatemala,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,4190,100000,70000,70000,70000,12000,12000,12000,223100,223100,224557,223676,223159,4792,12712,15207,12818,3212,893,815,758,749,745,721,661,394,386,381,135,135,140,157,162,175,277,3851,24202,62589
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000,547960,561981,586991,554162,678783,663855,448294,733258,572956,475125,257116,223367,216602,180193,96978,89610,35599,22594,16405,14994,17273,16463,9272,9052,9037,5424,5269
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,3004,4631,12873,21833,23909,15350,15406,15982,202154,222452,7650,8177,7711,7739,7707,7782,8144,8230,8213,8193,8014,7891,7897,8644,8810,8807,9295,11215
Guyana,,,,,,,,,,,,,,,,,,,,,,100,,200,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,7,8,7,11,12,12,11,16
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,2,3,15,4,6,12,13,5,991,2312,2302
Honduras,,,,,,,,,,,,,,,,,,,,,,70,,,,,,15000,51160,25000,28000,32170,40150,51460,60000,68000,75550,249660,241898,272470,103061,101958,76,107,107,63,50,9,10,18,24,34,23,44,72,22,43,25,21,15,17,17,39,42,179144,178826,177234
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000,45123,81488,32412,3033,2906,11398,11911,7319,3507,5462,6779,7128,7310,7857,8084,8922,8768,9967,10532,7006,5843,5555,4551,4439,18675,41218,8296,6469
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,141,154,160,160,197,232,260,294,285,261,231,230,252,258,375,298,85,213,219,235,245,297,477,428,471,471,753
India,,,,,,,,,,,,,,44000,45000,45000,50000,55000,56150,56500,56180,57680,58840,59900,,,,,,,3510,5600,7430,8690,8220,7890,6720,7825,10890,215093,214031,287828,264791,266488,238141,235301,239613,199109,180189,171052,169802,170913,170013,173029,142378,159492,165971,190070,192263,193676,191041,190771,193095,205720,208821,208257,207643
